,player,span,playing_team,matches,innings,not_out,runs,strike_rate,average,balls_faced,highest_score,hundreds,fifties,ducks,fours,sixes
11,KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2024,DC/GL/KKR/KXIP/MI/RCB,257,234,50.0,4842,135.36,26.31,3577,97*,,22.0,18.0,466,161
12,F du Plessis (CSK/DC/RCB/RPS),2012-2025,CSK/DC/RCB/RPS,154,147,11.0,4773,135.78,35.09,3515,96,,39.0,7.0,439,174
13,SV Samson (DC/RR),2013-2025,DC/RR,177,172,20.0,4704,139.04,30.94,3383,119,3.0,26.0,11.0,379,219
14,AT Rayudu (CSK/MI),2010-2023,CSK/MI,204,187,33.0,4348,127.54,28.23,3409,100*,1.0,22.0,14.0,359,173
15,SA Yadav (KKR/MI),2012-2025,KKR/MI,166,151,28.0,4311,148.65,35.04,2900,103*,2.0,29.0,10.0,454,168
16,G Gambhir (DC/KKR),2008-2018,DC/KKR,154,152,16.0,4217,123.88,31.0,3404,93,,36.0,12.0,492,59
17,JC Buttler (GT/MI/RR),2016-2025,GT/MI/RR,121,119,16.0,4120,149.38,40.0,2758,124,7.0,24.0,8.0,407,185
18,MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2025,DC/KKR/LSG/MI/PWI/RCB/SRH,174,162,28.0,3942,121.51,29.41,3244,114*,1.0,22.0,14.0,340,115
19,SR Watson (CSK/RCB/RR),2008-2020,CSK/RCB/RR,145,141,16.0,3874,137.91,30.99,2809,117*,4.0,21.0,7.0,375,190
20,Shubman Gill (GT/KKR),2018-2025,GT/KKR,118,115,17.0,3866,138.71,39.44,2787,129,4.0,26.0,4.0,372,119
21,SS Iyer (DC/KKR/PBKS),2015-2025,DC/KKR/PBKS,133,132,23.0,3731,133.34,34.22,2798,97*,,27.0,7.0,314,152
22,RR Pant (DC/LSG),2016-2025,DC/LSG,125,123,19.0,3553,147.61,34.16,2407,128*,2.0,19.0,6.0,319,170
23,KA Pollard (MI),2010-2022,MI,189,171,52.0,3412,147.32,28.67,2316,87*,,16.0,5.0,218,223
24,Q de Kock (DC/KKR/LSG/MI/RCB/SRH),2013-2025,DC/KKR/LSG/MI/RCB/SRH,115,115,7.0,3309,134.02,30.63,2469,140*,2.0,24.0,4.0,325,134
25,RA Jadeja (CSK/GL/Kochi/RR),2008-2025,CSK/GL/Kochi/RR,254,198,81.0,3260,130.29,27.86,2502,77*,,5.0,9.0,240,117
26,YK Pathan (KKR/RR/SRH),2008-2019,KKR/RR/SRH,174,154,44.0,3204,142.97,29.12,2241,100,1.0,13.0,9.0,262,158
27,DA Miller (GT/KXIP/LSG/RR),2012-2025,GT/KXIP/LSG/RR,141,135,49.0,3077,138.6,35.77,2220,101*,1.0,13.0,4.0,220,138
28,Ishan Kishan (GL/MI/SRH),2016-2025,GL/MI/SRH,119,112,9.0,2998,137.64,29.1,2178,106*,1.0,17.0,9.0,288,134
